FID,id,country,latitude,longitude,area_type,sexes,number_males,number_males_deficient,number_females,number_females_deficient,citation,area_size,country_id,malaria_metrics_available
G6PD_Data.659,659,Libyan Arab Jamahiriya,32.118,20.064,Point,Both,278,8,42,1,"Mir, N. A., M. Fakhri, et al. (1985). ""Erythrocyte glucose-6-phosphate dehydrogenase status of newborns and adults in eastern Libya."" Ann Trop Paediatr 5(4): 211-213.",10,LBA,true
G6PD_Data.660,660,Libyan Arab Jamahiriya,34.439,35.858,Wide area,Male,597,29,,,"Kamel, K., M. Umar, et al. (1975). ""Anthropological studies among Libyans. Erythrocyte genetic factors, serum haptoglobin phenotypes and anthropometry."" Am J Phys Anthropol 43(1): 103-111.",12,LBA,true
G6PD_Data.661,661,Libyan Arab Jamahiriya,27.065,14.43,Point,Male,226,44,,,"Kamel, K., M. Umar, et al. (1975). ""Anthropological studies among Libyans. Erythrocyte genetic factors, serum haptoglobin phenotypes and anthropometry."" Am J Phys Anthropol 43(1): 103-111.",10,LBA,true
G6PD_Data.653,653,Lao People's Democratic Republic,18.364,102.578,Point,Both,80,24,80,9,"Yamamoto, T., H. Amano, et al. (1974). ""Study About Glucose-6-Phosphate-Dehydrogenase Deficiency in Laos."" Japanese Journal of Human Genetics 19(1): 64-64.",10,LAO,true
G6PD_Data.1609,1609,Tokelau,-9.0869,-171.8322,Admin0 centroid,Both,9,0,9,0,"Nixon, A. D. and J. G. Bucha (1969). ""Survey for erythrocyte glucose-6-phosphate dehydrogenase deficiency in Polynesians."" Am J Hum Genet 21(3): 305-309.",20,TKL,true
G6PD_Data.1710,1710,United Republic of Tanzania,-4.9217,38.8854,Admin2 centroid,Both,121,33,124,24,"Allison, A. C. (1960). ""Glucose-6-phosphate dehydrogenase deficiency in red blood cells of East Africans."" Nature 186: 531-532.",3735,TZA,true
G6PD_Data.1711,1711,United Republic of Tanzania,-4.9724,38.6569,Point,Both,14,1,35,0,"Segeja, M. D., B. P. Mmbando, et al. (2008). ""Prevalence of glucose-6-phosphate dehydrogenase deficiency and haemoglobin S in high and moderate malaria transmission areas of Muheza, north-eastern Tanzania."" Tanzan J Health Res 10(1): 9-13.",10,TZA,true
G6PD_Data.1712,1712,United Republic of Tanzania,-5.0635,38.6286,Point,Both,14,1,35,2,"Segeja, M. D., B. P. Mmbando, et al. (2008). ""Prevalence of glucose-6-phosphate dehydrogenase deficiency and haemoglobin S in high and moderate malaria transmission areas of Muheza, north-eastern Tanzania."" Tanzan J Health Res 10(1): 9-13.",10,TZA,true
G6PD_Data.1713,1713,United Republic of Tanzania,-5.1858,38.8567,Point,Both,32,1,19,2,"Segeja, M. D., B. P. Mmbando, et al. (2008). ""Prevalence of glucose-6-phosphate dehydrogenase deficiency and haemoglobin S in high and moderate malaria transmission areas of Muheza, north-eastern Tanzania."" Tanzan J Health Res 10(1): 9-13.",10,TZA,true
G6PD_Data.1714,1714,United Republic of Tanzania,-4.9627,38.6556,Point,Both,12,3,33,4,"Segeja, M. D., B. P. Mmbando, et al. (2008). ""Prevalence of glucose-6-phosphate dehydrogenase deficiency and haemoglobin S in high and moderate malaria transmission areas of Muheza, north-eastern Tanzania."" Tanzan J Health Res 10(1): 9-13.",10,TZA,true
